Date,Stock C
1/12/2020,77.63175
2/12/2020,74.80409
3/12/2020,74.65822
4/12/2020,75.55028
7/12/2020,75.22487
8/12/2020,75.02851
9/12/2020,74.52357
10/12/2020,74.37208
11/12/2020,74.36647
14/12/2020,74.64139
15/12/2020,76.40307
16/12/2020,76.78458
17/12/2020,78.05815
18/12/2020,76.476
21/12/2020,75.9935
22/12/2020,78.20402
23/12/2020,75.73542
24/12/2020,77.00899
28/12/2020,77.5476
29/12/2020,76.54894
30/12/2020,77.6037
31/12/2020,77.90276
4/01/2021,74.82186
5/01/2021,75.40306
6/01/2021,75.82626
7/01/2021,75.61184
8/01/2021,76.85887
11/01/2021,76.03504
12/01/2021,76.09147
13/01/2021,76.31153
14/01/2021,76.19303
15/01/2021,75.47641
19/01/2021,75.51027
20/01/2021,78.12847
21/01/2021,78.15104
22/01/2021,78.97487
25/01/2021,79.79306
26/01/2021,81.1078
27/01/2021,78.43317
28/01/2021,77.41185
29/01/2021,76.2551
1/02/2021,80.03005
2/02/2021,81.47458
3/02/2021,80.1824
4/02/2021,81.62693
5/02/2021,82.24198
8/02/2021,82.4169
9/02/2021,82.10656
10/02/2021,81.93163
11/02/2021,82.37176
12/02/2021,82.59747
16/02/2021,81.45201
17/02/2021,80.62818
18/02/2021,79.34729
19/02/2021,79.26829
22/02/2021,79.12722
23/02/2021,79.48836
24/02/2021,79.64071
25/02/2021,78.39368
26/02/2021,76.80244
1/03/2021,77.75605
2/03/2021,76.96608
3/03/2021,75.66262
4/03/2021,74.74851
5/03/2021,76.62188
8/03/2021,77.20871
9/03/2021,77.69398
10/03/2021,78.30904
11/03/2021,78.79431
12/03/2021,80.33476
15/03/2021,81.58179
16/03/2021,82.4564
17/03/2021,81.51408
18/03/2021,80.90467
19/03/2021,79.00309
22/03/2021,79.9962
23/03/2021,80.49275
24/03/2021,79.81563
25/03/2021,80.2219
26/03/2021,82.86267
29/03/2021,82.36048
30/03/2021,82.05577
31/03/2021,81.28985
1/04/2021,83.85427
5/04/2021,83.96774
6/04/2021,84.04717
7/04/2021,83.67272
8/04/2021,84.65423
9/04/2021,84.44431
12/04/2021,84.94358
13/04/2021,85.41448
14/04/2021,84.27411
15/04/2021,86.37898
16/04/2021,86.18608
19/04/2021,87.00873
20/04/2021,88.33633
21/04/2021,88.50086
22/04/2021,87.74629
23/04/2021,87.89947
26/04/2021,88.69944
27/04/2021,88.69376
28/04/2021,89.31785
29/04/2021,89.33487
30/04/2021,90.01569
3/05/2021,88.60866
4/05/2021,87.83139
5/05/2021,86.40167
6/05/2021,87.55906
7/05/2021,88.59164
10/05/2021,87.9789
11/05/2021,86.73073
12/05/2021,84.83578
13/05/2021,86.8442
14/05/2021,87.77466
17/05/2021,87.02008
18/05/2021,87.25269
19/05/2021,87.39453
20/05/2021,88.64837
21/05/2021,88.20017
24/05/2021,89.95328
25/05/2021,89.64124
26/05/2021,90.21993
27/05/2021,89.04552
28/05/2021,89.68662
1/06/2021,91.45675
2/06/2021,92.85243
3/06/2021,93.55027
4/06/2021,93.31766
7/06/2021,94.44101
8/06/2021,95.27502
9/06/2021,95.0651
10/06/2021,96.99976
11/06/2021,95.67784
14/06/2021,96.73878
15/06/2021,96.1771
16/06/2021,95.33743
17/06/2021,95.68918
18/06/2021,93.03966
21/06/2021,96.24519
22/06/2021,95.47359
23/06/2021,94.57718
24/06/2021,94.36726
25/06/2021,94.70199
28/06/2021,94.27081
29/06/2021,94.33889
30/06/2021,93.74603
1/07/2021,93.78593
2/07/2021,94.19068
6/07/2021,95.26238
7/07/2021,95.96926
8/07/2021,96.03766
9/07/2021,97.51411
12/07/2021,98.50601
13/07/2021,97.18918
14/07/2021,97.89605
15/07/2021,98.46041
16/07/2021,98.65423
19/07/2021,97.48561
20/07/2021,99.97106
21/07/2021,99.89696
22/07/2021,99.42381
23/07/2021,100.9744
26/07/2021,100.2162
27/07/2021,100.3929
28/07/2021,100.1991
29/07/2021,100.0509
30/07/2021,100.4556
2/08/2021,99.3839
3/08/2021,99.60623
4/08/2021,98.99626
5/08/2021,99.91976
6/08/2021,99.50362
9/08/2021,99.08747
10/08/2021,97.61102
11/08/2021,98.04427
12/08/2021,98.42051
13/08/2021,99.74304
16/08/2021,99.79435
17/08/2021,100.011
18/08/2021,98.3977
19/08/2021,99.60053
20/08/2021,100.2048
23/08/2021,99.42381
24/08/2021,97.77634
25/08/2021,97.58252
26/08/2021,97.55972
27/08/2021,99.87415
30/08/2021,102.2741
31/08/2021,102.7586
1/09/2021,104.0356
2/09/2021,104.7767
3/09/2021,105.1871
7/09/2021,103.5168
8/09/2021,103.5111
9/09/2021,100.5696
10/09/2021,99.3554
13/09/2021,99.73734
14/09/2021,99.08177
15/09/2021,99.66323
16/09/2021,99.3212
17/09/2021,97.26329
20/09/2021,97.50271
21/09/2021,97.46281
22/09/2021,98.54592
23/09/2021,97.86185
24/09/2021,96.98396
27/09/2021,95.4334
28/09/2021,95.61582
29/09/2021,96.60772
30/09/2021,95.4959
1/10/2021,96.85989
4/10/2021,98.02328
5/10/2021,97.39287
6/10/2021,98.09779
7/10/2021,100.6538
8/10/2021,98.8944
11/10/2021,99.71393
12/10/2021,100.1953
13/10/2021,101.9949
14/10/2021,103.8517
15/10/2021,104.3732
18/10/2021,106.3161
19/10/2021,105.5768
20/10/2021,108.3678
21/10/2021,109.0727
22/10/2021,109.5598
25/10/2021,110.322
26/10/2021,111.2275
27/10/2021,112.0413
28/10/2021,115.1017
29/10/2021,113.348
1/11/2021,113.7606
2/11/2021,114.4828
3/11/2021,114.6604
4/11/2021,113.4454
5/11/2021,114.1733
8/11/2021,114.0988
9/11/2021,113.6288
10/11/2021,114.9298
11/11/2021,115.2794
12/11/2021,115.8238
15/11/2021,117.9787
16/11/2021,116.9356
17/11/2021,116.7179
18/11/2021,116.6262
19/11/2021,117.7724
22/11/2021,118.0245
23/11/2021,119.2166
24/11/2021,120.1507
26/11/2021,116.2307
29/11/2021,117.3139
30/11/2021,116.7408
1/12/2021,116.5688
2/12/2021,119.996
3/12/2021,118.9701
6/12/2021,120.9531
7/12/2021,121.6637
8/12/2021,121.6866
9/12/2021,119.7037
10/12/2021,122.6666
13/12/2021,124.7871
14/12/2021,123.6409
15/12/2021,125.8015
16/12/2021,124.8444
17/12/2021,123.085
20/12/2021,123.7441
21/12/2021,123.767
22/12/2021,124.151
23/12/2021,124.535
27/12/2021,127.3374
28/12/2021,128.5008
29/12/2021,130.9881
30/12/2021,130.4608
31/12/2021,131.2152
3/01/2022,129.4473
4/01/2022,128.0651
5/01/2022,126.1244
6/01/2022,123.7518
7/01/2022,121.3503
10/01/2022,120.8032
11/01/2022,121.0394
12/01/2022,119.83
13/01/2022,121.0509
14/01/2022,119.5017
18/01/2022,117.5956
19/01/2022,116.87
20/01/2022,115.8334
21/01/2022,115.1481
24/01/2022,114.6586
25/01/2022,112.9712
26/01/2022,112.2629
27/01/2022,109.9133
28/01/2022,114.2209
31/01/2022,115.125
1/02/2022,113.2995
2/02/2022,115.9658
3/02/2022,114.8428
4/02/2022,113.1958
7/02/2022,113.3628
8/02/2022,114.1403
9/02/2022,116.6511
10/02/2022,112.666
11/02/2022,111.186
14/02/2022,110.4719
15/02/2022,110.7138
16/02/2022,109.9306
17/02/2022,108.727
18/02/2022,107.8286
22/02/2022,108.272
23/02/2022,106.4292
24/02/2022,107.1202
25/02/2022,111.52
28/02/2022,109.8557
1/03/2022,108.3008
2/03/2022,110.2876
3/03/2022,111.4566
4/03/2022,111.9346
7/03/2022,109.1243
8/03/2022,108.7212
9/03/2022,109.7117
10/03/2022,109.8672
11/03/2022,107.7076
14/03/2022,109.418
15/03/2022,109.6887
16/03/2022,110.3913
17/03/2022,112.2686
18/03/2022,113.0461
21/03/2022,112.689
22/03/2022,112.9367
23/03/2022,110.9211
24/03/2022,111.4221
25/03/2022,112.9309
28/03/2022,114.3821
29/03/2022,119.0986
30/03/2022,119.1793
31/03/2022,117.6913
1/04/2022,120.9046
4/04/2022,119.405
5/04/2022,119.0056
6/04/2022,120.7193
7/04/2022,120.3082
8/04/2022,119.1156
11/04/2022,117.645
12/04/2022,117.4076
13/04/2022,117.4597
14/04/2022,115.3002
18/04/2022,115.9718
19/04/2022,120.9046
20/04/2022,124.8415
21/04/2022,123.5099
22/04/2022,121.1883
25/04/2022,119.2256
26/04/2022,117.5176
27/04/2022,117.1182
28/04/2022,119.1271
29/04/2022,108.5553
2/05/2022,103.2231
3/05/2022,103.3215
4/05/2022,103.6747
5/05/2022,97.90241
6/05/2022,97.5203
9/05/2022,94.47496
10/05/2022,96.24658
11/05/2022,96.53606
12/05/2022,95.49972
13/05/2022,97.16713
16/05/2022,96.10184
17/05/2022,96.25237
18/05/2022,90.34117
19/05/2022,89.91274
20/05/2022,90.23117
23/05/2022,90.50328
24/05/2022,90.17328
25/05/2022,90.85645
26/05/2022,91.5512
27/05/2022,95.16393
31/05/2022,93.53125
1/06/2022,94.10443
2/06/2022,96.50712
3/06/2022,95.70236
6/06/2022,94.60812
7/06/2022,97.36398
8/06/2022,94.31864
9/06/2022,92.54123
10/06/2022,90.72908
13/06/2022,88.66798
14/06/2022,88.10638
15/06/2022,89.80274
16/06/2022,86.96004
17/06/2022,85.96422
21/06/2022,87.64321
22/06/2022,88.25112
23/06/2022,91.23857
24/06/2022,94.66023
27/06/2022,93.20703
28/06/2022,91.50489
29/06/2022,91.18067
30/06/2022,89.97962
1/07/2022,91.55381
5/07/2022,91.23897
6/07/2022,92.09603
7/07/2022,91.53632
8/07/2022,90.87166
11/07/2022,90.52184
12/07/2022,90.37025
13/07/2022,90.31778
14/07/2022,88.60949
15/07/2022,90.44605
18/07/2022,89.57733
19/07/2022,92.8015
20/07/2022,92.83066
21/07/2022,94.31156
22/07/2022,95.38434
25/07/2022,96.1248
26/07/2022,96.71949
27/07/2022,95.68752
28/07/2022,98.2004
29/07/2022,99.4306
1/08/2022,98.53856
2/08/2022,99.06329
3/08/2022,99.30816
4/08/2022,99.02247
5/08/2022,99.13325
8/08/2022,100.1127
9/08/2022,100.7891
10/08/2022,101.6986
11/08/2022,101.1855
12/08/2022,103.3952
15/08/2022,104.6021
16/08/2022,104.0949
17/08/2022,103.7392
18/08/2022,103.0396
19/08/2022,101.7103
22/08/2022,99.4889
23/08/2022,98.08379
24/08/2022,98.70764
25/08/2022,100.3226
26/08/2022,98.2004
29/08/2022,97.94969
30/08/2022,96.17727
31/08/2022,96.21808
1/09/2022,96.42214
2/09/2022,95.44265
6/09/2022,95.50678
7/09/2022,97.50076
8/09/2022,98.34616
9/09/2022,99.58802
12/09/2022,100.7424
13/09/2022,96.60871
14/09/2022,95.09866
15/09/2022,92.80733
16/09/2022,91.22148
19/09/2022,91.51883
20/09/2022,90.10206
21/09/2022,89.3033
22/09/2022,88.61532
23/09/2022,88.28882
26/09/2022,85.671
27/09/2022,83.11731
28/09/2022,84.68567
29/09/2022,82.86661
30/09/2022,84.9018
3/10/2022,86.57819
4/10/2022,88.23105
5/10/2022,84.73122
6/10/2022,83.59598
7/10/2022,81.26668
10/10/2022,81.57255
11/10/2022,84.33712
12/10/2022,83.57245
13/10/2022,85.37237
14/10/2022,83.34305
17/10/2022,86.23115
18/10/2022,86.01351
19/10/2022,83.63716
20/10/2022,83.37835
21/10/2022,84.39006
24/10/2022,84.84298
25/10/2022,89.04866
26/10/2022,89.35453
27/10/2022,90.06626
28/10/2022,91.80735
31/10/2022,92.16616
1/11/2022,91.70736
2/11/2022,88.97219
3/11/2022,89.20748
4/11/2022,90.66035
7/11/2022,90.48389
8/11/2022,90.20743
9/11/2022,88.56633
10/11/2022,96.24243
11/11/2022,94.46605
14/11/2022,92.40144
15/11/2022,92.3485
16/11/2022,92.53085
17/11/2022,91.14268
18/11/2022,91.87206
21/11/2022,91.56031
22/11/2022,92.29556
23/11/2022,91.80147
25/11/2022,92.20145
28/11/2022,88.67809
29/11/2022,89.41335
30/11/2022,91.31326
1/12/2022,91.10739
2/12/2022,92.69555
5/12/2022,90.16037
6/12/2022,89.28983
7/12/2022,90.40742
8/12/2022,90.8721
9/12/2022,90.88975
12/12/2022,90.86622
13/12/2022,92.25439
14/12/2022,91.77206
15/12/2022,89.26042
16/12/2022,86.70172
19/12/2022,86.21939
20/12/2022,85.67235
21/12/2022,87.42521
22/12/2022,86.91347
23/12/2022,87.56638
27/12/2022,87.20169
28/12/2022,85.53118
29/12/2022,88.58398
30/12/2022,87.81884
3/01/2023,87.04184
4/01/2023,90.15577
5/01/2023,86.51989
6/01/2023,88.88054
9/01/2023,88.67888
10/01/2023,89.22456
11/01/2023,92.61726
12/01/2023,94.69915
13/01/2023,95.47615
17/01/2023,94.45003
18/01/2023,96.02776
19/01/2023,97.44534
20/01/2023,97.84867
23/01/2023,99.78227
24/01/2023,99.01121
25/01/2023,97.39789
26/01/2023,99.04679
27/01/2023,100.1026
30/01/2023,98.73837
31/01/2023,99.79414
1/02/2023,101.2295
2/02/2023,103.086
3/02/2023,101.3481
6/02/2023,101.793
7/02/2023,101.8642
8/02/2023,100.9745
9/02/2023,99.61027
10/02/2023,99.21287
13/02/2023,100.3161
14/02/2023,100.3754
15/02/2023,100.1797
16/02/2023,98.70871
17/02/2023,98.48925
21/02/2023,97.2674
22/02/2023,97.03015
23/02/2023,97.97323
24/02/2023,96.87594
27/02/2023,96.87001
28/02/2023,96.84035
1/03/2023,95.78458
2/03/2023,98.35876
3/03/2023,99.28405
6/03/2023,99.15949
7/03/2023,97.5699
8/03/2023,98.22234
9/03/2023,96.18791
10/03/2023,92.61133
13/03/2023,94.71694
14/03/2023,97.67666
15/03/2023,95.46429
16/03/2023,95.92693
17/03/2023,94.04671
20/03/2023,96.09301
21/03/2023,95.53546
22/03/2023,90.94464
23/03/2023,90.9387
24/03/2023,93.77387
27/03/2023,94.08823
28/03/2023,94.21278
29/03/2023,95.921
30/03/2023,97.11912
31/03/2023,98.81059
3/04/2023,98.75082
4/04/2023,98.29658
5/04/2023,97.44187
6/04/2023,98.38623
10/04/2023,98.82852
11/04/2023,98.38025
12/04/2023,97.16694
13/04/2023,96.94579
14/04/2023,95.06306
17/04/2023,96.6589
18/04/2023,97.47774
19/04/2023,99.94621
20/04/2023,99.76092
21/04/2023,100.8009
24/04/2023,99.37242
25/04/2023,98.12922
26/04/2023,97.16694
27/04/2023,98.49381
28/04/2023,99.55173
,
,
,
,
,
,
,
,
,
,
